Channel,Peak viewers,Followers gained,Views gained,Language,T
AntoineDanielLive,16671,272263,6778234,French,490
G4G_REVENANT,14376,69353,6608568,Spanish,506
maxim,21262,129119,5439874,German,929
양띵 (yd0821),38412,56233,1901665,Korean,324
c9judite,8210,84754,7982996,Portuguese,976
WOKE,50598,105725,3460437,English,522
Amaz,12652,-5405,4237993,English,856
ESL_SC2,40072,36130,5674624,English,271
CooLifeGame,15459,167356,5764214,Spanish,641
BruceGrannec,11287,95268,5973378,French,896
CuteDog_,7016,22074,3489772,English,336
大丸 (wtf_winds123),11975,32952,9883708,Chinese,18
theRealShooKon3,6148,37207,2944974,English,807
Albralelie,18730,216977,5392597,English,315
룩삼 (looksam),32222,14351,7901792,Korean,434
GTimeTV,14110,155419,5838039,German,27
WagamamaTV,7377,20933,3880798,English,162
sleepy,8855,254462,3295029,English,813
FifaTargrean,6721,66121,7798628,Thai,570
GrandPOObear,13295,44926,3877237,English,696
Pun1shers_TV,6289,51159,4148542,Greek,403
gamelifeow,37939,169229,8373012,Russian,465
Sh4dowehhh,11788,70619,6477747,Russian,468
LuluLuvely,10110,360592,6019198,English,899
Swifty,19884,71011,8647522,English,839
Mibrtv,151094,242229,6671227,Portuguese,149
PsheroTV,10739,59927,5384623,English,407
bytarifaaa,121009,629175,3651549,Spanish,621
Alderiate,11480,80730,5471250,French,994
Solaaaa,16718,107558,5135340,German,659
Strippin,9127,19904,3115313,English,63
Mendo,25321,176007,5487693,English,11
Pikabooirl,21309,78399,5574448,English,118
Skadoodle,30357,219104,5373229,English,962
MasterSnakou,12948,73137,6565757,French,33
루시아 (lucia94),8886,37026,5801449,Korean,291
Otzdarva,14940,146762,3176930,English,398
꽃핀 (cherrypach),10985,90457,6606649,Korean,944
Opat04,9497,109720,6632006,Czech,974
icebergdoto,16441,84551,6944929,Russian,274
P4wnyhof,7196,6719,6891131,German,518
Mazarin1k,9605,68292,9980766,Czech,72
김뚜띠_ (kimdduddi),7244,67954,3549865,Korean,246
옥냥이 (rooftopcat99),8794,59213,5969221,Korean,51
KingGothalion,41994,44907,3349456,English,186
ItsSlikeR,12762,154360,5243404,English,827
Alinity,17341,255987,13908506,English,878
TidesofTime,12457,27110,2240586,English,754
GernaderJake,21162,70693,8847646,English,270
スタンミ (sutanmi),7854,16505,3473483,Japanese,965
DarioMocciaTwitch,8160,96707,4356099,Italian,395
bebe872,4965,51251,2383295,English,533
Lasqa,10010,25351,5298356,Russian,603
六希夫 (qttsix),9671,23620,8174656,Chinese,819
Flight23white,74388,704583,2016920,English,498
Heelmike,18963,208795,3406743,English,421
OGADotaPIT,60846,48664,8333671,English,534
SoloRenektonOnly,5118,74554,4581141,English,389
OfficialAndyPyro,9676,29422,10284627,Finnish,732
k3soju,7504,70939,2609837,English,680
SkyrrozTV,17061,216436,6233611,French,856
LeBouseuh,24497,351530,4545514,French,871
BikeMan,7223,11101,3531376,English,353
Rubini,5521,43426,7976244,Portuguese,457
JLWaliid,19603,246417,4345817,French,295
qSnake,5441,37641,6296155,Russian,22
Criken,11050,32753,3593487,English,396
Loserfruit,42374,790345,10477877,English,899
Broxah,13137,209200,5351294,English,892
JonVlogs,21617,261559,3260166,Portuguese,65
ImSoFresh,5788,36095,3673955,French,50
BeBePtv,14353,24674,63847323,Russian,720
TrilluXe,27943,95629,7212835,German,194
landonorris,97550,457635,12694726,English,857
LotharHS,14561,136198,6742783,Polish,206
ElcanaldeJoaco,48072,758797,4893535,Spanish,29
CzechCloud,8212,111145,9000160,Czech,345
chess24,32856,49745,20337169,English,211
TheNo1Alex,8554,30883,7225371,English,622
Crystal_LoL,7471,98846,5571500,Turkish,266
WeAreTheVR,20851,85526,9512134,Hungarian,817
AdzTV,11247,167548,4236933,French,286
IrmanPlay,17697,232876,3312084,Russian,594
Tomato,5358,36010,2200922,English,358
쫀득이_ (pjs9073),15654,115990,5979215,Korean,529
runitup247,1182,30397,2424188,English,498
NeZaK_,7262,207722,3017013,Italian,118
피닉스박1 (xkwhd),9938,50675,4794915,Korean,922
skill4ltu,4049,46398,4548052,English,444
ilMasseo,8980,436741,4364008,Italian,826
Worrun_,41881,103762,3425022,English,424
brax,28736,282648,4449212,English,991
rewinside,24167,372220,5349508,German,587
금사향 (sah_yang),7143,108366,7584329,Korean,850
HAchubby,13675,159519,5075885,English,539
Recrent,6781,120204,8936320,Russian,202
iLame,4911,66490,9831952,Russian,684
ixxYjYxxi,15223,409932,2378245,Arabic,384
Wingsofdeath,7176,6267,2534023,English,320
mang0,24391,53694,3077795,English,178
Kamikatze,8509,36955,4997073,German,260
Philza,24611,292543,5158370,English,834
Kurumx,16413,49439,2485867,English,399
Pieface23,14072,127444,2037389,English,656
CurtisRyan,7245,33141,3760730,English,256
CalebDMTG,5446,9005,1563033,English,704
MarkiLokurasY,26329,417223,7000112,Spanish,583
JLBichouu,16461,150452,4001304,French,697
나나양 (nanayango3o),6411,63332,4789098,Korean,11
DavyJones,44526,454965,10940319,Portuguese,920
Fairlight_Excalibur,19156,5162,1645770,English,316
PG_Esports,24734,41935,16923320,Italian,799
StreamerHouse,12609,10659,2800864,English,251
Peereira7,14532,361206,6222094,Spanish,802
Twitch,130795,223168,46395022,English,964
Sev7n,31836,225963,7453572,Portuguese,268
Wardiii,9459,31905,3970743,English,715
자동 (tranth),5451,11733,5114165,Korean,415
Kubon_,9545,25721,6142647,Polish,365
KarasMai,6728,139915,3975842,English,775
Sloot,21283,23506,4415937,English,322
LPMassive,18813,22874,2409670,German,375
羅傑 (roger9527),12707,22369,4197860,Chinese,17
ChicaLive,14928,631422,2776587,English,366
도현_ (d_obby),16860,153300,5913454,Korean,344
Valkia,23519,146451,8091070,English,471
caps,26754,270611,6373471,English,535
龜狗 (gueigotv),9918,25466,6005834,Chinese,394
Alfie,15588,33462,3380440,English,75
NiceWigg,13013,111498,2871081,English,816
zEkO,21313,370683,5338943,Spanish,779
x6FlipiN,19304,186655,6462906,Spanish,666
JASONR,33902,136800,6183865,English,411
Dhalucard,22306,97678,7444967,German,501
duckmanzch,14684,75228,9240202,Thai,937
MrBboy45,9408,57504,6445684,French,651
인간젤리 (ses836),7683,29332,5099767,Korean,59
AladdinTV,4279,45168,4298260,German,78
miniminter,27188,588461,16598800,English,438
ClintStevens,15223,102753,2303521,English,664
NoctisAK47,7264,41176,6381664,Thai,766
Daxak,7721,64239,5857325,Russian,110
ThaldrinLol,11305,95126,7822019,Turkish,338
olyashaa,9142,138621,14210392,Russian,863
Jay3,9514,124100,3079327,English,293
SovietWomble,9616,214775,5846971,English,761
GodHunt,19032,30738,7464390,Russian,771
Everyeyeit,18421,42213,52155951,Italian,714
Speedrun,16604,51098,13863239,English,322
iamSometimes,23238,99162,4766495,Thai,58
Broeki1,13091,25995,4702541,German,514
hexy,14020,20006,2855592,English,615
Etoiles,45364,167386,6466352,French,284
xChocoBars,37216,107350,8679867,English,470
GN_GG,4859,14734,3333965,Russian,922
SheriffEli,5988,11832,2355559,English,605
iateyourpie,10962,7942,4878552,English,938
KYR_SP33DY,6607,66637,2451110,English,167
armateam,3181,8680,3569807,French,432
JeelTV,7302,276765,6668409,French,485
Pengu,7707,241309,5240516,English,987
태준이 (dlxowns45),10549,124060,5444952,Korean,102
gabepeixe,5955,25034,2795325,Portuguese,394
TSM_TheOddOne,4363,-15772,6370949,English,126
luke4316live,2757,36988,4795414,Italian,389
VGBootCamp,97791,24798,5491154,English,874
CapcomFighters,84858,20205,12878708,English,539
Datto,82047,89739,4566171,English,653
NeverSayYesTwitch,10771,176218,3381154,French,464
BeatportOfficial,48457,124653,36484452,English,963
포셔 (portialyn),4498,29698,2460689,Korean,767
케인 (kanetv8),10087,52606,7004305,Korean,144
Sanchovies,15588,145102,3924344,English,323
GhostFreak66,94791,89879,2471382,English,127
RTAinJapan,42822,44766,2700751,Japanese,753
WankilStudio,28866,274734,5141210,French,289
SLAKUN10,48358,1874846,5835029,Spanish,958
Monkeynews,72483,54112,4978021,English,415
forever,53702,360874,2863254,Portuguese,396
AlpTV,33059,257474,6685553,Turkish,468
Crocodyle_lol,8810,77142,3657348,French,895
WARDELL,16215,288200,5304936,English,419
Tiagovski555YT,11245,130719,5057048,Portuguese,737
Altair,3702,19448,2779740,French,627
NiteNightKid,29228,11998,1450208,English,614
fuslie,45247,116757,7152158,English,307
Tyceno,40407,250536,1623230,English,188
Faux,15167,29301,3248586,English,71
RiotGamesTurkish,36258,49244,9998277,Turkish,546
makataO,12292,137135,7336811,Russian,549
Drjayfisto,4092,41353,6201998,English,515
CarTmaNzbs,7809,65268,13183429,Russian,122
Th3Antonio,13955,87872,5222867,Spanish,6
BigEx,21401,138235,1947938,English,753
BigSpinCR,21815,81726,2995202,German,633
Maghla,16695,234216,6831650,French,282
Becca,11405,56356,4198030,English,717
SirhcEz,5928,34334,3081725,English,881
twlevewinsHS,5425,31257,1353428,English,127
코렛트 (collet11),6144,73181,5543661,Korean,272
Zombie_Barricades,4497,60031,2219053,English,621
NBA2KLeague,48495,42942,67586924,English,285
XBOCT,20110,78529,5635774,Russian,503
shtan_udachi,7220,22524,3970603,Russian,209
orslok,21759,269085,5048873,Spanish,751
BRNWOWZK1,6981,87295,5330221,Portuguese,548
HellYeahPlay,3946,31088,5014047,Russian,974
홍방장 (game2eye),5698,22221,5266599,Korean,764
grafo,7165,173024,5627155,Spanish,737
xTheSolutionTV,16093,103800,2778565,German,451
Igromania,6159,13710,115312954,Russian,263
Back2Warcraft,8309,21267,4016790,German,228
超負荷 (sam1268),11861,20433,5691145,Chinese,307
10000DAYS,11193,158473,10528149,Turkish,763
iProMx,8874,80190,1637792,French,325
짬타수아 (zzamtiger0310),6217,46791,6693148,Korean,541
GingiTV,6450,45047,5117439,English,163
venruki,13179,44449,7127552,English,35
Pimpeano,38592,665323,3744461,Spanish,797
MatteoHS,5827,221153,4537952,Italian,704
nugiyen,8448,22377,3448935,English,10
HighDistortion,20179,61126,5125402,English,124
LuquEt4,4958,45202,2807619,Portuguese,246
THump,8063,115028,2168664,English,405
MaTaFe_,8535,106957,4182011,English,102
rxnexus,6765,23213,5862326,Russian,220
VaporaDark,5041,22193,7610128,English,230
PaymoneyWubby,16622,126399,2668187,English,729
RTGameCrowd,20354,308499,3736356,English,236
다주 (dda_ju),9137,52071,3755880,Korean,169
Bawkbasoup,7853,27795,2313340,English,861
견자희 (wkgml),10656,150813,6013389,Korean,178
Werlyb,37980,146852,5349362,Spanish,839
TSM_Hamlinz,51989,126150,2268382,English,671
DougisRaw,22641,74509,2149900,English,204
Mmorpg,4994,19566,3055373,English,697
BreaK,9531,18289,3880016,English,486
berkriptepe,24573,281667,5508199,Turkish,655
Xposed,8580,147449,2220313,English,75
무굴 (moogrr1211),2008,10214,3006979,Korean,768
BoarControlHS,3622,39363,2852825,English,138
Dementardo,15476,465321,2419659,Spanish,340
CrReaM,8098,6207,1614843,English,358
Xiuder_,13675,298759,3022408,Italian,14
SmallAnt,11518,218287,2695198,English,206
Naowh,11693,48833,5069397,English,258
Tonton,9738,76656,3954958,French,252
逼比 (bebelolz),7592,26670,6966348,Chinese,341
踢虧 (takesipon),8103,11867,3983662,Chinese,945
Vargskelethor,6577,60041,2147906,English,933
핑맨 (95pingman),26738,97696,3424139,Korean,145
LobosJr,12709,27173,3970888,English,466
ZONY,7172,140806,3739750,Polish,631
Monstercat,14261,22331,4084222,English,93
k1ng,52558,614383,6210317,Spanish,723
DuelLinksMeta,5792,33306,6092699,English,503
Esports_Alliance,27040,55445,8254877,Thai,622
lolesportsla,37187,71514,5283711,Spanish,481
Vovo,7268,92033,3786059,Portuguese,112
goncho,18091,236558,6156791,Spanish,902
MenosTrece,7132,190155,5465173,Spanish,529
swimstrim,13314,62796,2964244,English,928
AnneMunition,37236,65910,10222790,English,787
Reverse2k,14160,155158,3906784,English,868
erobb221,10391,88737,2352357,English,634
voicetv,1874,1328,4001475,Thai,1
FFearFFul,116245,492841,2041776,Arabic,749
Cryaotic,7169,24644,2326058,English,956
Dmitry_Lixxx,26715,332931,8549523,Russian,401
Sweatcicle,14550,120954,2372907,English,613
tebtv,13639,59909,10310607,English,145
_연두부_ (lovelyyeon),4282,74892,5389852,Korean,968
pankylol,17394,166114,7887006,Turkish,629
Alkaizerx,12430,21706,3152805,English,34
hastad,10888,188163,4991368,Portuguese,425
미라지 (mirage720),30706,122225,5107789,Korean,314
Tanxlive,6899,40087,7067999,Thai,348
Rogue,7289,147217,2431075,English,702
easywithaces,18686,35096,3279762,English,781
BeyondTheSummit_PT2,126254,137968,4834852,Portuguese,747
CarritosKami,14634,67444,6694660,Spanish,640
dizzy,19262,122263,4572893,English,474
EAMaddenNFL,57179,72319,5152605,English,679
TobiasFate,4681,49134,5210466,English,278
PUBG,35922,78929,4783744,English,786
BananaSlamJamma,5152,23267,2546439,English,374
Dyrus,11338,111,3724340,English,864
Mushway,9611,233686,3178181,French,336
bazattak007,11217,322355,4835861,Spanish,91
IFrostBolt,6210,106749,2723926,English,917
Kandyland,9203,202294,11207571,English,493
감블러 (9ambler),11279,77889,3731059,Korean,102
Sco,15241,32463,10361325,English,478
ProfessorBroman,12676,22714,3579571,English,567
Paoloidolo,7659,57927,4585217,Italian,169
1PVCS,23081,31807,8056327,French,64
강퀴 (kangqui),10809,18133,3877756,Korean,682
AkTep,6300,51862,4273193,Russian,126
햇살살 (hatsalsal),3915,25730,5576914,Korean,161
PardonMyTake,141406,143806,3300371,English,321
Sweet_Anita,21594,510063,7927278,English,879
Draineo,7777,65702,175788,English,772
Cerbero_Podcast,19298,132867,4071398,Italian,764
cellinrj,7136,122045,3621969,Portuguese,747
SkyshockTV,6213,32991,3059244,Spanish,802
Evangelion0,8533,28322,3446723,Spanish,803
AnthonyZ,7416,23303,2812219,English,202
mokrivskyi,29983,304008,8255635,Russian,715
CaMaK,9437,7578,3019137,French,632
Uthenera,9460,99872,4832180,Turkish,725
Corobizar,11200,84933,4345590,French,60
roflgator,14329,46487,1449834,English,659
QuarterJade,12144,167202,3921702,English,478
kutcherlol,6802,36059,5070320,German,188
DieHahn,8048,44782,3418935,German,498
chowh1,8221,84231,4175567,French,726
cacho01,18552,250197,2516244,Spanish,858
natalan,9561,462674,2737155,Spanish,511
DreamHackDota2_RU,98717,30231,3637232,Russian,288
DuendePablo,10121,118567,4216188,Spanish,341
小夜夜 (albislol),3740,10939,4554443,Chinese,254
UCCleague,14003,46807,9915656,Russian,269
貝克 (slrabbit99),5944,2495,4838617,Chinese,219
Stewie2K,27416,289867,5771575,English,311
jorbs,4084,20603,1410877,English,636
BlackFIreIce,3044,6130,4424196,Polish,711
kurt0411,26941,114789,2221662,English,220
Herdyn,4254,91098,5639711,Czech,249
Frankkaster,49127,356711,5878239,Spanish,982
SayNoToRage,8014,17619,1552234,English,280
MiltonTPike1,8838,25768,2185519,English,848
H0llyLP,4958,11875,3846703,German,954
MarkitoNavaja,26584,641813,3159593,Spanish,131
RobertoCein,15249,422842,2907888,Spanish,563
KVYZEE,8354,74894,6715483,Russian,260
MarketTradersTV,1357,12081,981536,English,180
Flambass,5507,26918,2319131,English,538
Aa9skillz,11843,142789,2373012,English,598
Limmy,6575,136263,2433739,English,364
SparkofPhoenixTV,15792,195208,3537808,German,460
kyliebitkin,6688,25720,2468122,English,857
CoconutB,4596,62459,2691775,English,368
FanHOTS,2104,27948,2451118,English,453
Pelegrino1993,6236,64799,1772816,Portuguese,785
Killars,4232,15728,1747381,English,782
Weak3n,2922,30028,4780580,English,354
Tourva,5067,182413,7888629,English,732
wintergaming,7019,13900,3609065,English,25
Vicens,30628,724245,4110592,Spanish,659
PainLivestream,15002,81619,2283772,German,267
monkeys_forever,6738,34329,2106144,English,364
Kaydop,23304,117412,3185925,French,893
しゃるる (syaruru3),3710,9684,3022192,Japanese,668
primeleague,19013,71211,5606593,German,794
LRojo_,11178,82320,3959878,Spanish,336
trihex,21721,29678,5777172,English,596
Spaceboy,10590,27050,2614773,English,790
Froggen,10648,31800,3577064,English,677
BotanicX,9135,11512,9335252,Russian,419
dinablin,29316,239896,11129949,Russian,769
RiceGum,29173,388376,2273737,English,955
ipav999,2536,82668,2920832,English,562
Lutti,37121,163441,3727211,French,808
kragiee,6298,65977,3136101,English,484
Puppers,6798,64591,1753517,English,82
Crayator,4911,177501,3865293,English,91
MANvsGAME,5831,2336,2713787,English,896
TheRealMarzaa,12525,258153,2909149,Italian,441
foggedftw2,8622,109500,3438208,English,138
Linkus7,7248,41862,1866513,English,13
Arcadum,13801,78642,2169921,English,955
ImMarksman,11141,152094,1311402,English,426
LightFuryLF,15139,32663,4989684,Thai,248
BarcaGamer,57917,548578,3012949,Spanish,270
EFEUYGAC,14481,297215,5234400,Turkish,244
Xnapycz,4388,44450,4521040,Czech,256
SilentSentry,5572,13533,1896110,English,174
球球 (lilballzlolz),6328,9831,4212219,Chinese,905
DaigoTheBeasTV,27261,42313,4166521,Japanese,876
UncleBjorn,4265,26514,7886426,Russian,929
AnniTheDuck,7894,263210,7336341,German,383
StRoGo,45087,258332,5978117,Russian,871
재슥짱 (pikra10),4659,42516,2973636,Korean,833
貝莉莓 (beryl_lulu),15901,49522,9765341,Chinese,102
purple_hs,5460,18850,1512076,English,832
Harmii,7200,168452,3556031,German,374
Zerkaa,11192,373720,2530852,English,817
iklooode25,42463,354335,1443848,Arabic,100
聶寶 (nielnieh345),5455,18742,4755073,Chinese,84
akagreenn,21136,114861,3514645,Turkish,522
Spraggy,30415,35453,3037728,English,931
TpaBoMaH,6813,85717,7804776,Russian,488
Day9tv,5597,13344,2495558,English,909
Sologesang,5120,26062,4569358,German,63
karavay46,48331,301941,8457221,Russian,721
RaulZitoYT,6545,76729,2725303,Portuguese,887
JonBams,5577,75728,1940922,English,424
Japan_ASMR,496,32649,1272641,Japanese,621
OuterHeaven,6955,7924,1037346,English,464
Yamikazexz,12411,161100,5719244,English,698
aircool,12620,120570,1628826,English,46
Lapi,8684,16992,6792456,French,683
robn_live,73664,63975,1502917,English,389
과로사1 (aram4519),14167,179604,5711063,Korean,309
Ezekiel_III,18804,8969,4018240,English,410
RebeuDeter,24675,194128,2560454,French,554
nookyyy,7393,78987,2481667,German,410
BrookeAB,24357,247335,6936235,English,230
innocents,13654,279080,3488587,English,544
RealKraftyy,19953,21198,4102026,English,567
rhobalas_lol,5224,69851,3011205,French,811
veloxey,8596,180142,1874494,Italian,526
ArQuel,9110,45153,4895500,Polish,432
ElOjoNinja,9339,133594,5226901,Spanish,728
Bamboe,5956,25348,2322578,English,649
Sonecarox,2445,21318,3105118,Portuguese,363
MuTeX,9448,114872,1615269,English,406
RayNarvaezJr,6611,29068,2180691,English,96
Tanovich,10352,219383,3677360,Spanish,389
Zalae,5934,23494,1776974,English,773
KheZu,5322,28840,2671995,English,55
mandiocaa1,9540,29691,2567198,Portuguese,184
스피드소닉 (dragon3652),2379,11620,4618003,Korean,385
RiotGamesOCE,50458,65748,8437414,English,164
Videoyun,8057,85165,8078109,Turkish,139
AlcastHQ,12999,24582,41833833,English,842
julien,15150,177756,4880209,English,225
iGeStarK,12893,231731,2948954,Spanish,628
Ziqoftw,10569,33547,4933908,English,236
CyrusTWO,2727,25277,5787660,Swedish,767
칸데르니아 (jmjdoc),2395,9502,4337476,Korean,111
CouRageJD,72100,120434,2874860,English,800
YoMax,16952,129000,1715466,French,160
JeffHoogland,3375,7290,1965274,English,439
Call of Duty (callofduty),170131,50321,5423366,English,56
GoBGG,4198,37272,5971819,French,28
Wackyjacky101,5981,72794,9213152,English,967
TaKeTV,31809,13033,2855045,German,260
iceiceice,8409,57797,2582911,English,300
StarCraft,56109,22130,4110003,English,550
MadDecentLive,36968,95352,44291541,English,411
WillerZ,24663,68899,2344895,English,390
SoyPan,13884,162018,2167760,Spanish,689
murilo_RT,8185,55939,3070308,Portuguese,93
Multiplayerit,15237,17650,30889814,Italian,830
Markstrom,71423,35277,1829062,English,711
Krayn_Live,4183,20572,4621526,French,263
西門夜說 (westdoor),5363,16908,5018006,Chinese,564
Sintica,8467,110955,7008648,German,381
FantaBobShow,8248,86339,3598696,French,945
ops1x,23490,254190,3050489,English,269
wingz,3940,32924,3057045,Spanish,312
ZLOYn,14155,284221,6731111,Russian,604
HunterGodBr,51612,254260,14078099,Portuguese,59
leplol1,9307,116243,3163399,Portuguese,625
sacy,10692,117190,3590048,Portuguese,651
헤징 (hejin0_0),3032,72192,5800110,Korean,385
Naru,13744,123779,5321664,Turkish,922
Warcraft,51972,31688,6635421,English,168
FlexZ,14278,133959,3254805,Spanish,18
DizzyKitten,10080,54653,8960383,English,890
지수소녀 (wltn4765),9379,68129,6213041,Korean,201
Staryuuki,5530,530306,5418113,Spanish,938
CeMka,18473,22116,4241970,Russian,218
Halifax,12478,52433,2955093,English,974
Bidule,10100,64920,2486535,French,644
Gabi,17866,178648,3821231,Portuguese,434
Hype,10030,101271,6185689,Turkish,611
Gigz,15061,44075,1958787,English,807
매직박 (yagubu),25478,53490,3379601,Korean,770
richwcampbell,34756,57422,3790423,English,376
ESL_CSGO_FR,22857,26073,4124889,French,708
양아지 (dkwl025),6861,114560,4933531,Korean,701
Cizzorz,11782,222573,3095942,English,563
RyuQuezacotl,4022,9884,1867494,English,619
Sigma,81683,54151,1334161,English,832
Robbaz,4938,23827,5009610,English,236
mailand,6867,31605,3923343,German,692
Buozzi,4036,39547,5126434,Portuguese,179
HeyarTV,2343,17695,2506556,French,911
LenaGol0vach,9115,40915,2969471,Russian,84
Sinner666,27996,7101,21322548,Russian,458
TommyKayLIVE,3536,58673,2561302,English,550
TMemoryy,3244,64750,1027960,English,870
Patriota,29435,344213,3707623,Portuguese,613
러너교 (runner0608),17926,58988,4276695,Korean,810
zorlaKOKA,4977,83418,7654224,Portuguese,875
Hitch,3976,30813,1942552,English,218
calango,8380,293608,3292645,Portuguese,376
Adin2Huncho,14502,162642,956614,English,245
SlotRoom247,20609,69113,1338301,German,140
ALLinPav,6221,21360,3156265,English,432
Surefour,7911,46991,2066041,English,536
NumotTheNummy,3359,8045,1530401,English,715
aminematue,16577,123363,2316908,French,323
CallMeCarsonLIVE,61531,732108,3533199,English,338
ZiggyDLive,18437,15899,4249580,English,167
KEEMSTAR,74195,46367,7139253,English,30
크캣66 (crazzyccat),2543,24849,1889696,Korean,27
RelaxBeats,2830,29595,1094850,English,549
LAGTVMaximusBlack,7138,13251,2310313,English,382
Destructoid,14566,8995,87603521,English,257
LITkillah,21359,562691,2162107,Spanish,829
빅헤드 (bighead033),3940,52289,4399897,Korean,424
마스카 (newmasca),6431,-4942,3417970,Korean,656
AndyMilonakis,10543,109111,3926918,English,691
Remx,13788,59432,2049420,French,967
